Vivado Simulator 2018.3
Time resolution is 1 ps
Time=             1075000, State=00, A_time=14, B_time=17, LED=001100
Time=             1085000, State=00, A_time=13, B_time=16, LED=001100
Time=             1095000, State=00, A_time=12, B_time=15, LED=001100
Time=             1105000, State=00, A_time=11, B_time=14, LED=001100
Time=             1115000, State=00, A_time=10, B_time=13, LED=001100
Time=             1125000, State=00, A_time= 9, B_time=12, LED=001100
Time=             1135000, State=00, A_time= 8, B_time=11, LED=001100
Time=             1145000, State=00, A_time= 7, B_time=10, LED=001100
Time=             1155000, State=00, A_time= 6, B_time= 9, LED=001100
Time=             1165000, State=00, A_time= 5, B_time= 8, LED=001100
Time=             1175000, State=00, A_time= 4, B_time= 7, LED=001100
Time=             1185000, State=00, A_time= 3, B_time= 6, LED=001100
Time=             1195000, State=00, A_time= 2, B_time= 5, LED=001100
Time=             1205000, State=00, A_time= 1, B_time= 4, LED=001100
Time=             1215000, State=00, A_time= 0, B_time= 3, LED=001100
Time=             1225000, State=01, A_time= 2, B_time= 2, LED=010100
Time=             1235000, State=01, A_time= 1, B_time= 1, LED=010100
Time=             1245000, State=01, A_time= 0, B_time= 0, LED=010100
Time=             1255000, State=10, A_time=29, B_time=26, LED=100001
Time=             1265000, State=10, A_time=28, B_time=25, LED=100001
Time=             1275000, State=10, A_time=27, B_time=24, LED=100001
Time=             1285000, State=10, A_time=26, B_time=23, LED=100001
Time=             1295000, State=10, A_time=25, B_time=22, LED=100001
Time=             1305000, State=10, A_time=24, B_time=21, LED=100001
Time=             1315000, State=10, A_time=23, B_time=20, LED=100001
Time=             1325000, State=10, A_time=22, B_time=19, LED=100001
Time=             1335000, State=10, A_time=21, B_time=18, LED=100001
Time=             1345000, State=10, A_time=20, B_time=17, LED=100001
Time=             1355000, State=10, A_time=19, B_time=16, LED=100001
Time=             1365000, State=10, A_time=18, B_time=15, LED=100001
Time=             1375000, State=10, A_time=17, B_time=14, LED=100001
Time=             1385000, State=10, A_time=16, B_time=13, LED=100001
Time=             1395000, State=10, A_time=15, B_time=12, LED=100001
Time=             1405000, State=10, A_time=14, B_time=11, LED=100001
Time=             1415000, State=10, A_time=13, B_time=10, LED=100001
Time=             1425000, State=10, A_time=12, B_time= 9, LED=100001
Time=             1435000, State=10, A_time=11, B_time= 8, LED=100001
Time=             1445000, State=10, A_time=10, B_time= 7, LED=100001
Time=             1455000, State=10, A_time= 9, B_time= 6, LED=100001
Time=             1465000, State=10, A_time= 8, B_time= 5, LED=100001
Time=             1475000, State=10, A_time= 7, B_time= 4, LED=100001
Time=             1485000, State=10, A_time= 6, B_time= 3, LED=100001
Time=             1495000, State=10, A_time= 5, B_time= 2, LED=100001
Time=             1505000, State=10, A_time= 4, B_time= 1, LED=100001
Time=             1515000, State=10, A_time= 3, B_time= 0, LED=100001
Time=             1525000, State=11, A_time= 2, B_time= 2, LED=100010
Time=             1535000, State=11, A_time= 1, B_time= 1, LED=100010
Time=             1545000, State=11, A_time= 0, B_time= 0, LED=100010
Time=             1555000, State=00, A_time=26, B_time=29, LED=001100
Time=             1565000, State=00, A_time=25, B_time=28, LED=001100
Time=             1575000, State=00, A_time=24, B_time=27, LED=001100
Time=             1585000, State=00, A_time=23, B_time=26, LED=001100
Time=             1595000, State=00, A_time=22, B_time=25, LED=001100
Time=             1605000, State=00, A_time=21, B_time=24, LED=001100
Time=             1615000, State=00, A_time=20, B_time=23, LED=001100
Time=             1625000, State=00, A_time=19, B_time=22, LED=001100
Time=             1635000, State=00, A_time=18, B_time=21, LED=001100
Time=             1645000, State=00, A_time=17, B_time=20, LED=001100
Time=             1655000, State=00, A_time=16, B_time=19, LED=001100
